xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638
85	0.0	0.0	0.0	0.213371266003	0.355618776671	0.284495021337	0.284495021337	0.284495021337	0.284495021337	0.284495021337	0.284495021337	0.284495021337
90	0.408163265306	0.408163265306	0.340136054422	0.612244897959	0.680272108844	0.680272108844	0.680272108844	0.680272108844	0.680272108844	0.680272108844	0.680272108844	0.680272108844
95	1.03492884864	0.840879689521	0.840879689521	1.29449838188	2.1359223301	2.2639068564	2.2639068564	2.2639068564	2.2639068564	2.2639068564	2.2639068564	2.2639068564
100	2.97656744775	2.596580114	2.78657378087	2.59001895136	3.60075805433	3.53758686039	3.53758686039	3.53758686039	3.53758686039	3.53758686039	3.53758686039	3.53758686039
105	8.53517877739	7.77649769585	7.94930875576	6.33275762809	6.60160734788	6.94603903559	7.00344431688	7.00344431688	7.00344431688	7.00344431688	7.00344431688	7.00344431688
110	14.5285087719	13.6039495337	13.7685134394	11.5194733955	7.9408543264	8.42911877395	8.48385331144	8.48385331144	8.48385331144	8.48385331144	8.48385331144	8.48385331144
115	17.0293797606	16.4853101197	16.7029379761	15.5059847661	10.2229472539	10.766721044	10.8210984231	10.8210984231	10.8210984231	10.8210984231	10.8210984231	10.8210984231
120	20.3268641471	20.0102092905	20.112302195	18.8871873405	12.18892839	11.9796954315	12.2842639594	12.1827411168	12.1827411168	12.1827411168	12.1827411168	12.1827411168
125	21.1060375444	21.3414634146	21.3414634146	20.152284264	12.1778676099	12.084592145	12.5694093892	12.5694093892	12.5694093892	12.5694093892	12.5694093892	12.5694093892
130	26.2784090909	26.006631928	25.9101654846	25.1065845571	18.0188679245	13.8823529412	13.8352941176	13.7882352941	13.7882352941	13.7882352941	13.7882352941	13.7882352941
135	28.5059578368	28.1522237506	28.060522696	27.5103163686	19.3150684932	15.2341973624	15.5938349955	15.5102040816	15.5102040816	15.5102040816	15.5102040816	15.5102040816
140	29.5156179267	28.014505893	28.014505893	28.2993197279	19.9547511312	16.8615107914	16.5467625899	16.9590643275	17.0490328385	17.1390013495	17.1390013495	17.1390013495
