xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0208986415883	0.0208986415883	0.0208986415883	0.0208986415883	0.0208986415883	0.0208986415883	0.0208986415883	0.0208986415883
95	1.63281561131	1.19426751592	1.19474313023	1.19426751592	1.05242255759	1.11199364575	1.11199364575	1.11199364575	1.11199364575	1.11199364575	1.11199364575	1.11199364575
100	7.52646775746	6.73335898422	6.69617086781	6.60250240616	2.85878741366	2.82041442824	2.91634689179	2.91634689179	2.91634689179	2.91634689179	2.91634689179	2.91634689179
105	16.4044130946	15.6029651058	15.6029651058	15.5668052793	7.14156898106	6.40100973675	6.43707176343	6.43707176343	6.43707176343	6.43707176343	6.43707176343	6.43707176343
110	22.0534311158	21.5682850157	21.6032134125	21.6206776109	11.6675360807	9.85230234579	9.66116420504	9.66116420504	9.66116420504	9.66116420504	9.66116420504	9.66116420504
115	28.3841363487	28.7493853467	28.592495494	27.9908226811	16.5958836981	11.4546046209	12.3677786819	12.3677786819	12.3677786819	12.3677786819	12.3677786819	12.3677786819
120	32.2918344339	32.769726248	32.4315619968	31.6857188858	19.7978501524	14.118777013	13.7826156555	13.7826156555	13.7826156555	13.7826156555	13.7826156555	13.7826156555
125	35.9725126979	36.3758589782	35.7676224612	35.41635521	24.0834575261	17.14922049	15.6647912348	15.9312999704	15.9312999704	15.9312999704	15.9312999704	15.9312999704
130	37.364110201	38.1590705987	37.4534623976	37.1556217424	26.2845262845	19.7366474331	17.7331165952	17.437564652	17.437564652	17.437564652	17.437564652	17.437564652
135	40.354861604	41.0813111963	40.4285511565	40.1021711367	29.4401133948	21.6181869528	18.8926458157	19.676056338	19.676056338	19.676056338	19.676056338	19.676056338
140	41.4704667493	42.4125585238	41.5863398513	41.4268007162	32.484514797	24.5544282972	20.4970640448	21.2754335655	20.6058951965	20.6058951965	20.6058951965	20.6058951965
