xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922
85	0.0	0.0	0.0	0.30910839401	0.515180656684	0.412144525347	0.412144525347	0.412144525347	0.412144525347	0.412144525347	0.412144525347	0.412144525347
90	0.641361256545	0.615183246073	0.53664921466	0.883507853403	0.988219895288	0.988219895288	0.988219895288	0.988219895288	0.988219895288	0.988219895288	0.988219895288	0.988219895288
95	1.40005022602	1.11125062783	1.09241587142	1.91606985802	3.12853373539	3.32119537921	3.32119537921	3.32119537921	3.32119537921	3.32119537921	3.32119537921	3.32119537921
100	3.90507659958	3.73416581617	3.96830161494	3.5649981995	5.15544352419	5.07742167807	5.07742167807	5.07742167807	5.07742167807	5.07742167807	5.07742167807	5.07742167807
105	6.90961774212	7.39152230825	7.18542861917	6.73017995432	9.6465881307	10.2244943321	10.3022893976	10.3022893976	10.3022893976	10.3022893976	10.3022893976	10.3022893976
110	10.1172083111	10.6979222163	10.5540756526	9.75856739327	11.6666666667	12.6782294105	12.7527133433	12.7527133433	12.7527133433	12.7527133433	12.7527133433	12.7527133433
115	14.5401801618	15.1263923503	15.1101837244	13.8992015461	14.4621797479	15.631354209	15.7330215535	15.7330215535	15.7330215535	15.7330215535	15.7330215535	15.7330215535
120	16.2873261356	17.3523976267	17.3815776675	16.0042807803	15.5220113576	17.7687154093	18.2736187979	18.4144091659	18.4144091659	18.4144091659	18.4144091659	18.4144091659
125	17.606510292	18.1164629763	18.1020848311	17.4175324364	16.081675593	17.9835469677	18.7822842931	18.7822842931	18.7822842931	18.7822842931	18.7822842931	18.7822842931
130	21.5374898493	22.3325958369	22.4242971253	21.1469857756	18.4144144144	20.5449223148	20.8376491781	20.9637469039	20.9637469039	20.9637469039	20.9637469039	20.9637469039
135	23.9429887455	24.4795967146	24.4361392378	23.4887662422	20.4601693076	23.0198985564	23.3910783889	23.4354021395	23.4354021395	23.4354021395	23.4354021395	23.4354021395
140	26.5946129952	27.3005743459	27.3133375877	25.9003831418	23.1305234534	24.1584242476	25.0201638579	25.2907223495	25.3034547152	25.3968253968	25.3968253968	25.3968253968
