xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0297123841217	0.0297123841217	0.0297123841217	0.0297123841217	0.0297123841217	0.0297123841217	0.0297123841217	0.0297123841217
95	0.278541117529	0.413238593867	0.409399360664	0.405759162304	1.07269669221	0.96991216595	0.96991216595	0.96991216595	0.96991216595	0.96991216595	0.96991216595	0.96991216595
100	1.68917695622	2.48523711191	2.47427908999	2.4717309365	2.8319640983	2.96044298071	2.96768122761	2.96768122761	2.96768122761	2.96768122761	2.96768122761	2.96768122761
105	5.42055122523	6.47945228752	6.47945228752	6.40810016479	6.20173458477	6.25254582485	6.2304820095	6.2304820095	6.2304820095	6.2304820095	6.2304820095	6.2304820095
110	8.60629520888	9.45418143626	9.46895103059	9.28022843639	8.38045598335	8.29087692282	8.34329898596	8.34329898596	8.34329898596	8.34329898596	8.34329898596	8.34329898596
115	13.5751359367	14.4071069911	14.4329259814	14.1318457164	11.699878062	11.9682080035	11.7267406038	11.7267406038	11.7267406038	11.7267406038	11.7267406038	11.7267406038
120	16.9980149182	17.8099291633	17.8114331263	17.2250387375	14.2355325377	14.4753419726	14.5931113077	14.5931113077	14.5931113077	14.5931113077	14.5931113077	14.5931113077
125	21.0478720398	21.6865427005	21.7699090036	21.3739162412	17.0548215899	17.3190265362	17.6265983214	17.5435137723	17.5435137723	17.5435137723	17.5435137723	17.5435137723
130	23.7477113109	24.5429453721	24.6443749061	24.1551307105	19.5460002183	19.4243134263	19.7313810606	19.7885340264	19.7885340264	19.7885340264	19.7885340264	19.7885340264
135	26.1903495946	26.9845278605	27.0549766057	26.633613356	21.5798002338	21.3628945588	21.5902464882	21.4316950028	21.4316950028	21.4316950028	21.4316950028	21.4316950028
140	27.9788877446	29.0016480404	29.0982129062	28.7454449466	23.5693052106	22.7983401637	23.2096358342	23.0510821623	23.1957837505	23.1957837505	23.1957837505	23.1957837505
