xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	50.0970471157	50.0970471157	50.0970471157	50.1003291825	50.1813705019	50.1813705019	50.1813705019	50.1813705019	50.1813705019	50.1813705019	50.1813705019	50.1813705019
85	46.8047369432	46.803929589	46.803929589	47.0447603551	47.2075321695	47.1252276428	47.1252276428	47.1252276428	47.1252276428	47.1252276428	47.1252276428	47.1252276428
90	44.7886658347	44.749806625	44.7093088324	45.1118361623	45.1854221616	45.1843379392	45.1843379392	45.1843379392	45.1843379392	45.1843379392	45.1843379392	45.1843379392
95	41.841089924	41.5654562488	41.565773677	42.5854257911	43.5690863911	43.6958532523	43.6958532523	43.6958532523	43.6958532523	43.6958532523	43.6958532523	43.6958532523
100	41.1323706384	40.9630292264	41.0771580786	41.2979890203	42.7991574205	42.7295518395	42.7316157921	42.7316157921	42.7316157921	42.7316157921	42.7316157921	42.7316157921
105	38.9491479632	38.7514087244	38.6888601521	39.1888969698	42.367283925	42.9030839647	42.9879476213	42.9879476213	42.9879476213	42.9879476213	42.9879476213	42.9879476213
110	38.6498468039	38.5799788805	38.5734138278	38.8457162275	41.6222080487	42.4929903016	42.5680045047	42.5680045047	42.5680045047	42.5680045047	42.5680045047	42.5680045047
115	38.5630631197	38.401516197	38.420477354	38.6271119478	41.1967742499	42.2223853385	42.2982171704	42.2982171704	42.2982171704	42.2982171704	42.2982171704	42.2982171704
120	38.3188601932	38.2707443267	38.2671149901	38.2904765186	39.7718746971	42.1311716142	42.6145296592	42.7159390683	42.7159390683	42.7159390683	42.7159390683	42.7159390683
125	38.1196811723	38.0796264721	38.0796264721	38.2041174609	39.6214601422	41.363678172	42.0991029497	42.0991029497	42.0991029497	42.0991029497	42.0991029497	42.0991029497
130	37.9930638981	37.9688201577	38.0031916319	37.9804717945	38.7439891892	40.8917185427	41.1108030489	41.2410052195	41.2410052195	41.2410052195	41.2410052195	41.2410052195
135	38.0725207821	37.9990604653	37.9959748684	38.0074458825	38.7074872222	41.1756818826	41.5310023092	41.6420751087	41.6420751087	41.6420751087	41.6420751087	41.6420751087
140	38.133968614	38.1742313978	38.1864537631	38.063761048	38.9576008842	40.2727134775	41.138937659	41.5565881398	41.5855372711	41.6874717261	41.6874717261	41.6874717261
