xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179	18.1427665179
85	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058	12.0345033058
90	5.89178113588	5.89178113588	5.89178113588	5.88724581785	5.91698785559	5.91698785559	5.91698785559	5.91698785559	5.91698785559	5.91698785559	5.91698785559	5.91698785559
95	1.0620370574	0.993886531471	0.988811526635	0.964442631271	1.84157459871	1.73351690763	1.73351690763	1.73351690763	1.73351690763	1.73351690763	1.73351690763	1.73351690763
100	0.0717721875517	0.0612203251479	0.0612203251479	0.0612203251479	0.164348299237	0.314881334876	0.344405007771	0.344405007771	0.344405007771	0.344405007771	0.344405007771	0.344405007771
105	0.0	0.0	0.0	0.0	0.0307828795213	0.082480117012	0.0823520409082	0.0823520409082	0.0823520409082	0.0823520409082	0.0823520409082	0.0823520409082
110	0.0	0.0	0.0	0.0	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926
115	0.0	0.0	0.0	0.0	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926	0.0144675925926
120	0.0	0.0	0.0	0.0	0.0144675925926	0.0196767398552	0.0196767398552	0.0196767398552	0.0196767398552	0.0196767398552	0.0196767398552	0.0196767398552
125	0.0	0.0	0.0	0.0	0.0	0.0	0.0153908166575	0.0	0.0	0.0	0.0	0.0
130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	0.0	0.0	0.0	0.0	0.0096450617284	0.0096450617284	0.0096450617284	0.0096450617284	0.0096450617284	0.0096450617284	0.0096450617284	0.0096450617284
