xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401
85	100.0	100.0	100.0	99.690891606	99.4848193433	99.5878554747	99.5878554747	99.5878554747	99.5878554747	99.5878554747	99.5878554747	99.5878554747
90	99.3586387435	99.3848167539	99.4633507853	99.1164921466	99.0117801047	99.0117801047	99.0117801047	99.0117801047	99.0117801047	99.0117801047	99.0117801047	99.0117801047
95	98.599949774	98.8887493722	98.9075841286	98.083930142	96.8714662646	96.6788046208	96.6788046208	96.6788046208	96.6788046208	96.6788046208	96.6788046208	96.6788046208
100	96.0949234004	96.2658341838	96.0316983851	96.4350018005	94.8445564758	94.9225783219	94.9225783219	94.9225783219	94.9225783219	94.9225783219	94.9225783219	94.9225783219
105	93.0903822579	92.6084776918	92.8145713808	93.2698200457	90.3534118693	89.7755056679	89.6977106024	89.6977106024	89.6977106024	89.6977106024	89.6977106024	89.6977106024
110	89.8827916889	89.3020777837	89.4459243474	90.2414326067	88.3333333333	87.3217705895	87.2472866567	87.2472866567	87.2472866567	87.2472866567	87.2472866567	87.2472866567
115	85.4598198382	84.8736076497	84.8898162756	86.1007984539	85.5378202521	84.368645791	84.2669784465	84.2669784465	84.2669784465	84.2669784465	84.2669784465	84.2669784465
120	83.7126738644	82.6476023733	82.6184223325	83.9957192197	84.4779886424	82.2312845907	81.7263812021	81.5855908341	81.5855908341	81.5855908341	81.5855908341	81.5855908341
125	82.393489708	81.8835370237	81.8979151689	82.5824675636	83.918324407	82.0164530323	81.2177157069	81.2177157069	81.2177157069	81.2177157069	81.2177157069	81.2177157069
130	78.4625101507	77.6674041631	77.5757028747	78.8530142244	81.5855855856	79.4550776852	79.1623508219	79.0362530961	79.0362530961	79.0362530961	79.0362530961	79.0362530961
135	76.0570112545	75.5204032854	75.5638607622	76.5112337578	79.5398306924	76.9801014436	76.6089216111	76.5645978605	76.5645978605	76.5645978605	76.5645978605	76.5645978605
140	73.4053870048	72.6994256541	72.6866624123	74.0996168582	76.8694765466	75.8415757524	74.9798361421	74.7092776505	74.6965452848	74.6031746032	74.6031746032	74.6031746032
