xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
85	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	100.0	100.0	99.9702876159	99.9702876159	99.9702876159	99.9702876159	99.9702876159	99.9702876159	99.9702876159	99.9702876159
95	99.7214588825	99.5867614061	99.5906006393	99.5942408377	98.9273033078	99.030087834	99.030087834	99.030087834	99.030087834	99.030087834	99.030087834	99.030087834
100	98.3108230438	97.5147628881	97.52572091	97.5282690635	97.1680359017	97.0395570193	97.0323187724	97.0323187724	97.0323187724	97.0323187724	97.0323187724	97.0323187724
105	94.5794487748	93.5205477125	93.5205477125	93.5918998352	93.7982654152	93.7474541752	93.7695179905	93.7695179905	93.7695179905	93.7695179905	93.7695179905	93.7695179905
110	91.3937047911	90.5458185637	90.5310489694	90.7197715636	91.6195440167	91.7091230772	91.656701014	91.656701014	91.656701014	91.656701014	91.656701014	91.656701014
115	86.4248640633	85.5928930089	85.5670740186	85.8681542836	88.300121938	88.0317919965	88.2732593962	88.2732593962	88.2732593962	88.2732593962	88.2732593962	88.2732593962
120	83.0019850818	82.1900708367	82.1885668737	82.7749612625	85.7644674623	85.5246580274	85.4068886923	85.4068886923	85.4068886923	85.4068886923	85.4068886923	85.4068886923
125	78.9521279602	78.3134572995	78.2300909964	78.6260837588	82.9451784101	82.6809734638	82.3734016786	82.4564862277	82.4564862277	82.4564862277	82.4564862277	82.4564862277
130	76.2522886891	75.4570546279	75.3556250939	75.8448692895	80.4539997817	80.5756865737	80.2686189394	80.2114659736	80.2114659736	80.2114659736	80.2114659736	80.2114659736
135	73.8096504054	73.0154721395	72.9450233943	73.366386644	78.4201997662	78.6371054412	78.4097535118	78.5683049972	78.5683049972	78.5683049972	78.5683049972	78.5683049972
140	72.0211122554	70.9983519596	70.9017870938	71.2545550534	76.4306947894	77.2016598363	76.7903641658	76.9489178377	76.8042162495	76.8042162495	76.8042162495	76.8042162495
