xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497
85	100.0	100.0	100.0	99.786628734	99.6443812233	99.7155049787	99.7155049787	99.7155049787	99.7155049787	99.7155049787	99.7155049787	99.7155049787
90	99.5918367347	99.5918367347	99.6598639456	99.387755102	99.3197278912	99.3197278912	99.3197278912	99.3197278912	99.3197278912	99.3197278912	99.3197278912	99.3197278912
95	98.9650711514	99.1591203105	99.1591203105	98.7055016181	97.8640776699	97.7360931436	97.7360931436	97.7360931436	97.7360931436	97.7360931436	97.7360931436	97.7360931436
100	97.0234325522	97.403419886	97.2134262191	97.4099810486	96.3992419457	96.4624131396	96.4624131396	96.4624131396	96.4624131396	96.4624131396	96.4624131396	96.4624131396
105	91.4648212226	92.2235023041	92.0506912442	93.6672423719	93.3983926521	93.0539609644	92.9965556831	92.9965556831	92.9965556831	92.9965556831	92.9965556831	92.9965556831
110	85.4714912281	86.3960504663	86.2314865606	88.4805266045	92.0591456736	91.5708812261	91.5161466886	91.5161466886	91.5161466886	91.5161466886	91.5161466886	91.5161466886
115	82.9706202394	83.5146898803	83.2970620239	84.4940152339	89.7770527461	89.233278956	89.1789015769	89.1789015769	89.1789015769	89.1789015769	89.1789015769	89.1789015769
120	79.6731358529	79.9897907095	79.887697805	81.1128126595	87.81107161	88.0203045685	87.7157360406	87.8172588832	87.8172588832	87.8172588832	87.8172588832	87.8172588832
125	78.8939624556	78.6585365854	78.6585365854	79.847715736	87.8221323901	87.915407855	87.4305906108	87.4305906108	87.4305906108	87.4305906108	87.4305906108	87.4305906108
130	73.7215909091	73.993368072	74.0898345154	74.8934154429	81.9811320755	86.1176470588	86.1647058824	86.2117647059	86.2117647059	86.2117647059	86.2117647059	86.2117647059
135	71.4940421632	71.8477762494	71.939477304	72.4896836314	80.6849315068	84.7658026376	84.4061650045	84.4897959184	84.4897959184	84.4897959184	84.4897959184	84.4897959184
140	70.4843820733	71.985494107	71.985494107	71.7006802721	80.0452488688	83.1384892086	83.4532374101	83.0409356725	82.9509671615	82.8609986505	82.8609986505	82.8609986505
