xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
85	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	100.0	100.0	99.9791013584	99.9791013584	99.9791013584	99.9791013584	99.9791013584	99.9791013584	99.9791013584	99.9791013584
95	98.3671843887	98.8057324841	98.8052568698	98.8057324841	98.9475774424	98.8880063542	98.8880063542	98.8880063542	98.8880063542	98.8880063542	98.8880063542	98.8880063542
100	92.4735322425	93.2666410158	93.3038291322	93.3974975938	97.1412125863	97.1795855718	97.0836531082	97.0836531082	97.0836531082	97.0836531082	97.0836531082	97.0836531082
105	83.5955869054	84.3970348942	84.3970348942	84.4331947207	92.8584310189	93.5989902633	93.5629282366	93.5629282366	93.5629282366	93.5629282366	93.5629282366	93.5629282366
110	77.9465688842	78.4317149843	78.3967865875	78.3793223891	88.3324639193	90.1476976542	90.338835795	90.338835795	90.338835795	90.338835795	90.338835795	90.338835795
115	71.6158636513	71.2506146533	71.407504506	72.0091773189	83.4041163019	88.5453953791	87.6322213181	87.6322213181	87.6322213181	87.6322213181	87.6322213181	87.6322213181
120	67.7081655661	67.230273752	67.5684380032	68.3142811142	80.2021498476	85.881222987	86.2173843445	86.2173843445	86.2173843445	86.2173843445	86.2173843445	86.2173843445
125	64.0274873021	63.6241410218	64.2323775388	64.58364479	75.9165424739	82.85077951	84.3352087652	84.0687000296	84.0687000296	84.0687000296	84.0687000296	84.0687000296
130	62.635889799	61.8409294013	62.5465376024	62.8443782576	73.7154737155	80.2633525669	82.2668834048	82.562435348	82.562435348	82.562435348	82.562435348	82.562435348
135	59.645138396	58.9186888037	59.5714488435	59.8978288633	70.5598866052	78.3818130472	81.1073541843	80.323943662	80.323943662	80.323943662	80.323943662	80.323943662
140	58.5295332507	57.5874414762	58.4136601487	58.5731992838	67.515485203	75.4455717028	79.5029359552	78.7245664345	79.3941048035	79.3941048035	79.3941048035	79.3941048035
