xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638	0.0753579502638
85	0.0711237553343	0.0711237553343	0.0711237553343	0.142247510669	0.355618776671	0.284495021337	0.284495021337	0.284495021337	0.284495021337	0.284495021337	0.284495021337	0.284495021337
90	0.408163265306	0.408163265306	0.340136054422	0.748299319728	0.680272108844	0.612244897959	0.612244897959	0.612244897959	0.612244897959	0.612244897959	0.612244897959	0.612244897959
95	1.16429495472	0.711513583441	0.711513583441	0.970873786408	2.26537216828	2.26537216828	2.26537216828	2.26537216828	2.26537216828	2.26537216828	2.26537216828	2.26537216828
100	2.90955091714	2.72151898734	2.84810126582	2.59001895136	3.66392924826	3.66392924826	3.66392924826	3.66392924826	3.66392924826	3.66392924826	3.66392924826	3.66392924826
105	8.41983852364	8.06451612903	7.94930875576	6.85089234312	6.26797009776	6.6091954023	6.4367816092	6.4367816092	6.4367816092	6.4367816092	6.4367816092	6.4367816092
110	13.4320175439	13.4393856281	13.7136588042	11.951754386	8.15991237678	8.64805692392	8.75752599891	8.75752599891	8.75752599891	8.75752599891	8.75752599891	8.75752599891
115	17.0293797606	16.4309031556	16.5397170838	15.5059847661	10.0598151169	11.2561174551	11.2561174551	11.2561174551	11.2561174551	11.2561174551	11.2561174551	11.2561174551
120	20.2247191011	19.7240674502	19.6528841246	18.4977005621	11.4779075673	12.1827411168	12.0812182741	12.2335025381	12.2335025381	12.2335025381	12.2335025381	12.2335025381
125	21.1060375444	21.087398374	21.087398374	19.8984771574	11.9899244332	12.405826218	12.7959697733	12.8967254408	12.8967254408	12.8967254408	12.8967254408	12.8967254408
130	26.1837121212	25.8156028369	25.8628841608	25.0118427286	17.6470588235	13.7882352941	14.1713747646	14.077212806	14.077212806	14.077212806	14.077212806	14.077212806
135	28.5648784961	28.2897753324	28.2897753324	27.6478679505	19.0476190476	15.4125113327	15.4578422484	15.5485040798	15.2765185857	15.2765185857	15.2765185857	15.2765185857
140	29.4250792214	28.875793291	28.875793291	28.1632653061	19.8194130926	16.9514388489	16.9438202247	16.8615107914	16.8615107914	16.8615107914	16.8615107914	16.8615107914
