xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0208986415883	0.0835945663532	0.0835945663532	0.0835945663532	0.0835945663532	0.0835945663532	0.0835945663532	0.0835945663532	0.0835945663532
95	1.5929908403	1.17459685447	1.19450527573	1.05493630573	1.17156473392	1.21127879269	1.21127879269	1.21127879269	1.21127879269	1.21127879269	1.21127879269	1.21127879269
100	7.51923076923	6.57945363601	6.56021546749	6.23556581986	2.83960092095	2.74366845741	2.74366845741	2.74366845741	2.74366845741	2.74366845741	2.74366845741	2.74366845741
105	16.3501537349	15.5306454529	15.4402458868	14.6447297053	5.42440079294	5.37033699766	5.37033699766	5.37033699766	5.37033699766	5.37033699766	5.37033699766	5.37033699766
110	22.032122905	21.358714635	21.3237862382	21.3063220398	8.8133240805	7.37719145982	7.51605624024	7.51605624024	7.51605624024	7.51605624024	7.51605624024	7.51605624024
115	28.3841363487	28.7493853467	28.592495494	27.9908226811	13.0286271958	9.52380952381	9.45265551405	9.45265551405	9.45265551405	9.45265551405	9.45265551405	9.45265551405
120	32.2274118215	32.7536231884	32.3510466989	31.653517952	17.1844971172	11.8257261411	11.7618895627	11.7618895627	11.7618895627	11.7618895627	11.7618895627	11.7618895627
125	35.9725126979	36.3609202271	35.6780167264	35.3715054567	21.5286054827	13.918979077	13.0640627312	13.0640627312	13.0640627312	13.0640627312	13.0640627312	13.0640627312
130	37.364110201	38.1441763479	37.4385703649	36.9471332837	24.7552654999	15.0701107011	15.0612184688	15.1497270984	15.1497270984	15.1497270984	15.1497270984	15.1497270984
135	40.354861604	41.0671207606	40.4285511565	40.0737902654	28.4317892053	18.8039021632	16.2980701507	16.1572052402	16.1572052402	16.1572052402	16.1572052402	16.1572052402
140	41.4704667493	42.4125585238	41.5587992289	41.4268007162	31.8100481762	20.4878717281	16.7645051195	17.400790945	17.509886813	17.509886813	17.509886813	17.509886813
