xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922	0.109882059922
85	0.116774282182	0.116774282182	0.116774282182	0.206072262673	0.515180656684	0.412144525347	0.412144525347	0.412144525347	0.412144525347	0.412144525347	0.412144525347	0.412144525347
90	0.674083769634	0.615183246073	0.53664921466	1.07984293194	0.988219895288	0.890052356021	0.890052356021	0.890052356021	0.890052356021	0.890052356021	0.890052356021	0.890052356021
95	1.71396283275	0.991963837268	0.991963837268	1.38836537253	3.31699962307	3.32956401558	3.32956401558	3.32956401558	3.32956401558	3.32956401558	3.32956401558	3.32956401558
100	3.80969522438	3.90343502282	4.05356713908	3.5649981995	5.25147041172	5.26947545313	5.26947545313	5.26947545313	5.26947545313	5.26947545313	5.26947545313	5.26947545313
105	6.80374456703	7.19099871888	7.11858742271	6.94189091314	9.31074831448	9.84675397047	9.6071329061	9.6071329061	9.6071329061	9.6071329061	9.6071329061	9.6071329061
110	10.3143313799	10.7831646244	10.5753862547	9.72569906791	12.0429993082	13.0027665461	13.1730155352	13.1730155352	13.1730155352	13.1730155352	13.1730155352	13.1730155352
115	14.3162501908	15.145808947	15.1203623594	13.7059451762	14.1317608784	16.4548596991	16.4599430663	16.4599430663	16.4599430663	16.4599430663	16.4599430663	16.4599430663
120	16.3010166853	17.5334468499	17.5420678922	16.0673446548	16.1401465521	18.3464414021	18.0163122633	18.2639091174	18.2639091174	18.2639091174	18.2639091174	18.2639091174
125	17.5873623743	18.2746225737	18.2602444285	17.3744434337	16.4802600134	18.6464945354	18.7790057892	18.9464618918	18.9464618918	18.9464618918	18.9464618918	18.9464618918
130	21.5600469187	22.5823927765	22.537118101	21.2327839241	18.5678901148	20.5539292952	21.665840357	21.4900617479	21.4900617479	21.4900617479	21.4900617479	21.4900617479
135	23.8852672751	24.5230541915	24.3579157794	23.3844682978	20.8345998524	22.8150714595	23.2178432222	23.135556518	23.3780857514	23.3780857514	23.3780857514	23.3780857514
140	26.6499297902	27.3133375877	27.3133375877	25.9472115794	23.2619411865	24.4661430694	25.5208996393	25.5516890171	25.5516890171	25.5516890171	25.5516890171	25.5516890171
