xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0297123841217	0.118849536487	0.118849536487	0.118849536487	0.118849536487	0.118849536487	0.118849536487	0.118849536487	0.118849536487
95	0.34400239306	0.428205463827	0.413246320986	0.60770381451	1.49131003551	1.46514670155	1.46514670155	1.46514670155	1.46514670155	1.46514670155	1.46514670155	1.46514670155
100	1.69976286588	2.5595044017	2.5450132232	2.52591143002	3.51959755347	3.90503420072	3.90503420072	3.90503420072	3.90503420072	3.90503420072	3.90503420072	3.90503420072
105	5.40187138078	6.52702036933	6.58138389141	6.31636172129	6.99234204405	7.12818161751	7.12818161751	7.12818161751	7.12818161751	7.12818161751	7.12818161751	7.12818161751
110	8.60301474568	9.45418143626	9.47715636077	9.29499803072	9.18459295182	9.63815951121	9.728251077	9.728251077	9.728251077	9.728251077	9.728251077	9.728251077
115	13.5751359367	14.4071069911	14.4329259814	14.1287550995	12.288900199	13.357055933	13.2670826593	13.2670826593	13.2670826593	13.2670826593	13.2670826593	13.2670826593
120	16.9649302214	17.8069212375	17.8219608669	17.2099950356	14.5537791789	15.5736844473	15.8691120675	15.8691120675	15.8691120675	15.8691120675	15.8691120675	15.8691120675
125	21.0478720398	21.6837167241	21.7741479681	21.3597725698	17.3275922919	18.5604511808	19.1241287052	19.1015982539	19.1015982539	19.1015982539	19.1015982539	19.1015982539
130	23.7477113109	24.5388462274	24.6553067053	24.1223335201	19.7197511325	20.9170614823	20.9113930944	20.874632393	20.874632393	20.874632393	20.874632393	20.874632393
135	26.1903495946	26.9845278605	27.0549766057	26.6203211399	21.5566476292	22.0231697122	22.7332962286	22.7664254857	22.7664254857	22.7664254857	22.7664254857	22.7664254857
140	27.9788877446	29.0016480404	29.0995004378	28.7454449466	23.6400839049	23.745007641	24.9224140142	24.7278462347	24.5098667761	24.5098667761	24.5098667761	24.5098667761
