xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225
85	57.0659834799	57.0659834799	57.0659834799	57.0659437356	57.0659437356	57.0659437356	57.0659437356	57.0659437356	57.0659437356	57.0659437356	57.0659437356	57.0659437356
90	54.1606323957	54.1614112178	54.1612815014	54.1807637727	54.2371991952	54.2371991952	54.2371991952	54.2371991952	54.2371991952	54.2371991952	54.2371991952	54.2371991952
95	51.8070998134	51.7418184939	51.7379571451	51.8554778228	52.474485957	52.463069762	52.463069762	52.463069762	52.463069762	52.463069762	52.463069762	52.463069762
100	51.0047025973	51.0050836088	51.0165465098	51.0173051327	51.9486653903	52.1726784113	52.1726784113	52.1726784113	52.1726784113	52.1726784113	52.1726784113	52.1726784113
105	50.3314382377	50.3432385826	50.3546249989	50.3817850055	51.7142270417	51.8091420282	51.8091420282	51.8091420282	51.8091420282	51.8091420282	51.8091420282	51.8091420282
110	50.0670486486	50.1055528096	50.1079687938	50.1007112822	51.3734702564	51.7706773407	51.8460878157	51.8460878157	51.8460878157	51.8460878157	51.8460878157	51.8460878157
115	50.0048319683	50.0060542	50.007262192	50.0096639366	51.070397488	52.0698363652	52.0086582366	52.0086582366	52.0086582366	52.0086582366	52.0086582366	52.0086582366
120	50.0096639366	50.0060446976	50.0096734111	50.0060446976	50.8078294033	51.8432925805	52.0098182241	52.0098182241	52.0098182241	52.0098182241	52.0098182241	52.0098182241
125	50.0	50.0036239762	50.0120941324	50.0048319683	50.4749584867	51.831746618	52.1853203165	52.1682872336	52.1682872336	52.1682872336	52.1682872336	52.1682872336
130	50.0	50.0012079921	50.0084606818	50.0084606818	50.3372739835	51.7686456057	51.877132181	51.8669988993	51.8669988993	51.8669988993	51.8669988993	51.8669988993
135	50.0	50.0012079921	50.0012079921	50.0012079921	50.1996526341	51.3814322838	52.0091636264	52.0145526815	52.0145526815	52.0145526815	52.0145526815	52.0145526815
140	50.0	50.0024159842	50.0072479525	50.0072479525	50.1083515262	51.2743166001	52.1673631529	52.1204951007	51.9907608806	51.9907608806	51.9907608806	51.9907608806
