xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401	99.8901179401
85	99.8832257178	99.8832257178	99.8832257178	99.7939277373	99.4848193433	99.5878554747	99.5878554747	99.5878554747	99.5878554747	99.5878554747	99.5878554747	99.5878554747
90	99.3259162304	99.3848167539	99.4633507853	98.9201570681	99.0117801047	99.109947644	99.109947644	99.109947644	99.109947644	99.109947644	99.109947644	99.109947644
95	98.2860371673	99.0080361627	99.0080361627	98.6116346275	96.6830003769	96.6704359844	96.6704359844	96.6704359844	96.6704359844	96.6704359844	96.6704359844	96.6704359844
100	96.1903047756	96.0965649772	95.9464328609	96.4350018005	94.7485295883	94.7305245469	94.7305245469	94.7305245469	94.7305245469	94.7305245469	94.7305245469	94.7305245469
105	93.196255433	92.8090012811	92.8814125773	93.0581090869	90.6892516855	90.1532460295	90.3928670939	90.3928670939	90.3928670939	90.3928670939	90.3928670939	90.3928670939
110	89.6856686201	89.2168353756	89.4246137453	90.2743009321	87.9570006918	86.9972334539	86.8269844648	86.8269844648	86.8269844648	86.8269844648	86.8269844648	86.8269844648
115	85.6837498092	84.854191053	84.8796376406	86.2940548238	85.8682391216	83.5451403009	83.5400569337	83.5400569337	83.5400569337	83.5400569337	83.5400569337	83.5400569337
120	83.6989833147	82.4665531501	82.4579321078	83.9326553452	83.8598534479	81.6535585979	81.9836877367	81.7360908826	81.7360908826	81.7360908826	81.7360908826	81.7360908826
125	82.4126376257	81.7253774263	81.7397555715	82.6255565663	83.5197399866	81.3535054646	81.2209942108	81.0535381082	81.0535381082	81.0535381082	81.0535381082	81.0535381082
130	78.4399530813	77.4176072235	77.462881899	78.7672160759	81.4321098852	79.4460707048	78.334159643	78.5099382521	78.5099382521	78.5099382521	78.5099382521	78.5099382521
135	76.1147327249	75.4769458085	75.6420842206	76.6155317022	79.1654001476	77.1849285405	76.7821567778	76.864443482	76.6219142486	76.6219142486	76.6219142486	76.6219142486
140	73.3500702098	72.6866624123	72.6866624123	74.0527884206	76.7380588135	75.5338569306	74.4791003607	74.4483109829	74.4483109829	74.4483109829	74.4483109829	74.4483109829
