xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
85	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	100.0	99.9702876159	99.8811504635	99.8811504635	99.8811504635	99.8811504635	99.8811504635	99.8811504635	99.8811504635	99.8811504635
95	99.6559976069	99.5717945362	99.586753679	99.3922961855	98.5086899645	98.5348532984	98.5348532984	98.5348532984	98.5348532984	98.5348532984	98.5348532984	98.5348532984
100	98.3002371341	97.4404955983	97.4549867768	97.47408857	96.4804024465	96.0949657993	96.0949657993	96.0949657993	96.0949657993	96.0949657993	96.0949657993	96.0949657993
105	94.5981286192	93.4729796307	93.4186161086	93.6836382787	93.007657956	92.8718183825	92.8718183825	92.8718183825	92.8718183825	92.8718183825	92.8718183825	92.8718183825
110	91.3969852543	90.5458185637	90.5228436392	90.7050019693	90.8154070482	90.3618404888	90.271748923	90.271748923	90.271748923	90.271748923	90.271748923	90.271748923
115	86.4248640633	85.5928930089	85.5670740186	85.8712449005	87.711099801	86.642944067	86.7329173407	86.7329173407	86.7329173407	86.7329173407	86.7329173407	86.7329173407
120	83.0350697786	82.1930787625	82.1780391331	82.7900049644	85.4462208211	84.4263155527	84.1308879325	84.1308879325	84.1308879325	84.1308879325	84.1308879325	84.1308879325
125	78.9521279602	78.3162832759	78.2258520319	78.6402274302	82.6724077081	81.4395488192	80.8758712948	80.8984017461	80.8984017461	80.8984017461	80.8984017461	80.8984017461
130	76.2522886891	75.4611537726	75.3446932947	75.8776664799	80.2802488675	79.0829385177	79.0886069056	79.125367607	79.125367607	79.125367607	79.125367607	79.125367607
135	73.8096504054	73.0154721395	72.9450233943	73.3796788601	78.4433523708	77.9768302878	77.2667037714	77.2335745143	77.2335745143	77.2335745143	77.2335745143	77.2335745143
140	72.0211122554	70.9983519596	70.9004995622	71.2545550534	76.3599160951	76.254992359	75.0775859858	75.2721537653	75.4901332239	75.4901332239	75.4901332239	75.4901332239
