xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497	99.9246420497
85	99.9288762447	99.9288762447	99.9288762447	99.8577524893	99.6443812233	99.7155049787	99.7155049787	99.7155049787	99.7155049787	99.7155049787	99.7155049787	99.7155049787
90	99.5918367347	99.5918367347	99.6598639456	99.2517006803	99.3197278912	99.387755102	99.387755102	99.387755102	99.387755102	99.387755102	99.387755102	99.387755102
95	98.8357050453	99.2884864166	99.2884864166	99.0291262136	97.7346278317	97.7346278317	97.7346278317	97.7346278317	97.7346278317	97.7346278317	97.7346278317	97.7346278317
100	97.0904490829	97.2784810127	97.1518987342	97.4099810486	96.3360707517	96.3360707517	96.3360707517	96.3360707517	96.3360707517	96.3360707517	96.3360707517	96.3360707517
105	91.5801614764	91.935483871	92.0506912442	93.1491076569	93.7320299022	93.3908045977	93.5632183908	93.5632183908	93.5632183908	93.5632183908	93.5632183908	93.5632183908
110	86.5679824561	86.5606143719	86.2863411958	88.048245614	91.8400876232	91.3519430761	91.2424740011	91.2424740011	91.2424740011	91.2424740011	91.2424740011	91.2424740011
115	82.9706202394	83.5690968444	83.4602829162	84.4940152339	89.9401848831	88.7438825449	88.7438825449	88.7438825449	88.7438825449	88.7438825449	88.7438825449	88.7438825449
120	79.7752808989	80.2759325498	80.3471158754	81.5022994379	88.5220924327	87.8172588832	87.9187817259	87.7664974619	87.7664974619	87.7664974619	87.7664974619	87.7664974619
125	78.8939624556	78.912601626	78.912601626	80.1015228426	88.0100755668	87.594173782	87.2040302267	87.1032745592	87.1032745592	87.1032745592	87.1032745592	87.1032745592
130	73.8162878788	74.1843971631	74.1371158392	74.9881572714	82.3529411765	86.2117647059	85.8286252354	85.922787194	85.922787194	85.922787194	85.922787194	85.922787194
135	71.4351215039	71.7102246676	71.7102246676	72.3521320495	80.9523809524	84.5874886673	84.5421577516	84.4514959202	84.7234814143	84.7234814143	84.7234814143	84.7234814143
140	70.5749207786	71.124206709	71.124206709	71.8367346939	80.1805869074	83.0485611511	83.0561797753	83.1384892086	83.1384892086	83.1384892086	83.1384892086	83.1384892086
