xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
85	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	100.0	99.9791013584	99.9164054336	99.9164054336	99.9164054336	99.9164054336	99.9164054336	99.9164054336	99.9164054336	99.9164054336
95	98.4070091597	98.8254031455	98.8054947243	98.9450636943	98.8284352661	98.7887212073	98.7887212073	98.7887212073	98.7887212073	98.7887212073	98.7887212073	98.7887212073
100	92.4807692308	93.420546364	93.4397845325	93.7644341801	97.160399079	97.2563315426	97.2563315426	97.2563315426	97.2563315426	97.2563315426	97.2563315426	97.2563315426
105	83.6498462651	84.4693545471	84.5597541132	85.3552702947	94.5755992071	94.6296630023	94.6296630023	94.6296630023	94.6296630023	94.6296630023	94.6296630023	94.6296630023
110	77.967877095	78.641285365	78.6762137618	78.6936779602	91.1866759195	92.6228085402	92.4839437598	92.4839437598	92.4839437598	92.4839437598	92.4839437598	92.4839437598
115	71.6158636513	71.2506146533	71.407504506	72.0091773189	86.9713728042	90.4761904762	90.547344486	90.547344486	90.547344486	90.547344486	90.547344486	90.547344486
120	67.7725881785	67.2463768116	67.6489533011	68.346482048	82.8155028828	88.1742738589	88.2381104373	88.2381104373	88.2381104373	88.2381104373	88.2381104373	88.2381104373
125	64.0274873021	63.6390797729	64.3219832736	64.6284945433	78.4713945173	86.081020923	86.9359372688	86.9359372688	86.9359372688	86.9359372688	86.9359372688	86.9359372688
130	62.635889799	61.8558236521	62.5614296351	63.0528667163	75.2447345001	84.9298892989	84.9387815312	84.8502729016	84.8502729016	84.8502729016	84.8502729016	84.8502729016
135	59.645138396	58.9328792394	59.5714488435	59.9262097346	71.5682107947	81.1960978368	83.7019298493	83.8427947598	83.8427947598	83.8427947598	83.8427947598	83.8427947598
140	58.5295332507	57.5874414762	58.4412007711	58.5731992838	68.1899518238	79.5121282719	83.2354948805	82.599209055	82.490113187	82.490113187	82.490113187	82.490113187
