xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	4.30513595166	4.52830188679	4.83383685801	10.3474320242	15.6462585034	15.7974300831	15.7974300831	15.7974300831	15.7974300831	15.7974300831	15.7974300831	15.7974300831
85	6.19217081851	5.48042704626	7.0462633452	12.037037037	16.7498218104	16.8210976479	16.8210976479	16.8210976479	16.8210976479	16.8210976479	16.8210976479	16.8210976479
90	6.53950953678	6.13079019074	7.90729379686	12.2615803815	17.7914110429	18.2685753238	18.4049079755	18.4049079755	18.4049079755	18.4049079755	18.4049079755	18.4049079755
95	8.60841423948	7.57281553398	9.39119170984	12.3704663212	18.8471502591	19.5722618276	19.5722618276	19.5722618276	19.5722618276	19.5722618276	19.5722618276	19.5722618276
100	9.29203539823	9.16561314791	9.60809102402	13.2743362832	19.6202531646	20.4430379747	20.3797468354	20.3797468354	20.3797468354	20.3797468354	20.3797468354	20.3797468354
105	10.4597701149	9.8275862069	10.9070034443	12.2917863297	18.8505747126	20.2298850575	20.8620689655	20.8620689655	20.8620689655	20.8620689655	20.8620689655	20.8620689655
110	11.1232876712	10.9589041096	12.0	12.86966046	18.904109589	21.5460526316	21.4912280702	21.4912280702	21.4912280702	21.4912280702	21.4912280702	21.4912280702
115	14.4880174292	13.6165577342	14.7058823529	15.0326797386	20.1634877384	23.5967302452	23.9237057221	23.9237057221	23.9237057221	23.9237057221	23.9237057221	23.9237057221
120	13.668699187	13.8211382114	14.6775012697	15.3299492386	19.2483494159	22.1544715447	23.0691056911	23.0691056911	23.0691056911	23.0691056911	23.0691056911	23.0691056911
125	14.9246231156	15.2261306533	15.3266331658	16.0884866767	19.6177062374	22.7249874309	23.4791352438	23.4791352438	23.4791352438	23.4791352438	23.4791352438	23.4791352438
130	15.9283694628	16.0697455231	16.5254237288	16.8158266604	19.9246349505	21.3848327838	22.9971724788	22.7615457116	22.7615457116	22.7615457116	22.7615457116	22.7615457116
135	17.8880291306	17.4408014572	17.8847026782	17.7243880326	18.9569160998	21.5873015873	23.1397459165	23.9110707804	24.001814882	24.001814882	24.001814882	24.001814882
140	18.5051778478	18.4068406841	18.9104007204	18.690744921	20.6320541761	21.2679856115	24.4714349978	24.9662618084	24.9662618084	24.9662618084	24.9662618084	24.9662618084
