xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0225479143179	0.338218714769	0.360766629087	0.360766629087	0.360766629087	0.360766629087	0.360766629087	0.360766629087	0.360766629087
90	0.0	0.0	0.0	0.167189132706	1.44200626959	1.44200626959	1.44200626959	1.44200626959	1.44200626959	1.44200626959	1.44200626959	1.44200626959
95	1.5929908403	1.03503184713	1.07505474816	0.972801270598	3.69414101291	3.75372393247	3.75372393247	3.75372393247	3.75372393247	3.75372393247	3.75372393247	3.75372393247
100	7.42022299116	6.56021546749	6.32692307692	4.55156520069	5.45210213093	5.60568247264	5.60568247264	5.60568247264	5.60568247264	5.60568247264	5.60568247264	5.60568247264
105	16.3501537349	15.6391249322	15.1690471886	13.9421338156	7.40540540541	8.07207207207	8.07207207207	8.07207207207	8.07207207207	8.07207207207	8.07207207207	8.07207207207
110	22.0495810056	21.358714635	21.0268948655	20.8936987258	8.7092297016	9.68077723803	9.64607911173	9.64607911173	9.64607911173	9.64607911173	9.64607911173	9.64607911173
115	28.3841363487	28.6346500574	27.9370801245	27.7286135693	9.93667803215	11.7427318499	11.7264901738	11.7264901738	11.7264901738	11.7264901738	11.7264901738	11.7264901738
120	32.2274118215	32.7536231884	31.8950249557	31.3798100145	11.7656449553	13.5035913807	13.5195530726	13.5195530726	13.5195530726	13.5195530726	13.5195530726	13.5195530726
125	35.9725126979	36.3609202271	35.0955794504	35.1024069368	17.1977367481	14.0343093759	14.4906106757	14.4906106757	14.4906106757	14.4906106757	14.4906106757	14.4906106757
130	37.364110201	38.1441763479	36.7128182224	37.0067014147	20.1303510591	15.5627673698	16.0324483776	16.0324483776	16.0324483776	16.0324483776	16.0324483776	16.0324483776
135	40.354861604	41.0671207606	40.0737902654	40.0028380871	25.968334747	15.7480314961	16.5307843689	16.5307843689	16.5307843689	16.5307843689	16.5307843689	16.5307843689
140	41.4704667493	42.4125585238	41.0711827069	41.1950984442	29.1672401927	16.9986357435	17.1050838217	17.2183626209	17.2183626209	17.2183626209	17.2183626209	17.2183626209
