xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	7.15913267181	7.53248660157	7.73980154355	15.8324145535	24.8803827751	25.1159366949	25.1159366949	25.1159366949	25.1159366949	25.1159366949	25.1159366949	25.1159366949
85	10.1024688811	9.16718244963	11.5535382711	18.2387771964	26.2907561867	26.4217274419	26.4217274419	26.4217274419	26.4217274419	26.4217274419	26.4217274419	26.4217274419
90	10.5615324062	9.99081605878	12.8045176965	18.7881172536	28.3472322543	29.2074331867	29.410992186	29.410992186	29.410992186	29.410992186	29.410992186	29.410992186
95	14.1375408599	12.45285391	15.3841313786	19.1748946607	30.2433809194	31.4719214304	31.4719214304	31.4719214304	31.4719214304	31.4719214304	31.4719214304	31.4719214304
100	14.7756622019	14.7516367349	15.5264580455	20.1129400457	30.7307970142	32.2176739706	32.1093185649	32.1093185649	32.1093185649	32.1093185649	32.1093185649	32.1093185649
105	17.1030640669	16.1448467967	17.8642936596	19.1282079831	30.1866815269	32.8113680691	33.7308442463	33.7308442463	33.7308442463	33.7308442463	33.7308442463	33.7308442463
110	17.8967576792	17.715443686	19.6565699659	20.1064962726	30.471165121	35.4231138619	35.3324084943	35.3324084943	35.3324084943	35.3324084943	35.3324084943	35.3324084943
115	22.495794464	21.2672681858	22.7098944793	22.5840978593	31.5397562095	37.2316009588	37.6753200388	37.6753200388	37.6753200388	37.6753200388	37.6753200388	37.6753200388
120	21.9243285249	22.0748943611	23.4902912621	23.7415659434	30.8932821684	35.8782338067	37.4246255592	37.4246255592	37.4246255592	37.4246255592	37.4246255592	37.4246255592
125	23.6682432755	23.8927905977	24.3609956524	24.6952531192	31.4102564103	36.7791909726	38.0988811323	38.0988811323	38.0988811323	38.0988811323	38.0988811323	38.0988811323
130	24.6648309484	24.5880919063	25.6154747948	25.4002615794	31.8085442324	34.5423377092	37.129182282	36.691199711	36.691199711	36.691199711	36.691199711	36.691199711
135	26.6363044893	26.3495920847	27.7744061037	26.9077522737	30.611183355	35.1625487646	37.5558156674	38.7046429965	38.8346989205	38.8346989205	38.8346989205	38.8346989205
140	28.3083711655	28.2560706402	29.5315682281	28.5817717206	32.8364565588	34.4045850138	39.500509684	40.1333673123	40.1333673123	40.1333673123	40.1333673123	40.1333673123
