xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0317520797612	0.480514807053	0.512266886814	0.512266886814	0.512266886814	0.512266886814	0.512266886814	0.512266886814	0.512266886814
90	0.0	0.0	0.0	0.237699072974	2.05213533001	2.05213533001	2.05213533001	2.05213533001	2.05213533001	2.05213533001	2.05213533001	2.05213533001
95	0.306610828597	0.439416604338	0.441294713813	1.2483414625	5.32525569829	5.41500719882	5.41500719882	5.41500719882	5.41500719882	5.41500719882	5.41500719882	5.41500719882
100	1.71046915725	2.5669824822	2.59716738508	3.04395823154	7.88706376659	8.12793161526	8.12793161526	8.12793161526	8.12793161526	8.12793161526	8.12793161526	8.12793161526
105	5.40187138078	6.51173062875	6.56099757063	6.26189181843	10.7929178903	11.8301108489	11.8301108489	11.8301108489	11.8301108489	11.8301108489	11.8301108489	11.8301108489
110	8.60629520888	9.45418143626	9.46511513401	9.23352094649	12.9036486066	14.4387830332	14.3830791159	14.3830791159	14.3830791159	14.3830791159	14.3830791159	14.3830791159
115	13.5751359367	14.382387022	14.3020471224	14.0916676969	14.7642010877	17.865951412	17.8412874584	17.8412874584	17.8412874584	17.8412874584	17.8412874584	17.8412874584
120	16.9649302214	17.8069212375	17.7031477944	17.151324598	16.4868636248	20.4725118128	20.5025125628	20.5025125628	20.5025125628	20.5025125628	20.5025125628	20.5025125628
125	21.0478720398	21.6837167241	21.6639348895	21.3159271884	17.560225236	21.814084507	22.558286962	22.558286962	22.558286962	22.558286962	22.558286962	22.558286962
130	23.7477113109	24.5388462274	24.5289978824	24.1182338713	19.7971065872	23.5489491452	24.3364277353	24.3364277353	24.3364277353	24.3364277353	24.3364277353	24.3364277353
135	26.1903495946	26.9845278605	26.9420960281	26.5990535942	21.3446024838	24.4460651064	25.8223684211	25.8223684211	25.8223684211	25.8223684211	25.8223684211	25.8223684211
140	27.9788877446	29.0016480404	29.038736338	28.6709325231	23.3749855225	25.1728694403	26.7134355923	26.7703711303	26.7703711303	26.7703711303	26.7703711303	26.7703711303
