xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	54.9107152349	55.0739153718	55.3769740074	61.2594351656	66.9595338651	67.1227625732	67.1227625732	67.1227625732	67.1227625732	67.1227625732	67.1227625732	67.1227625732
85	53.6831160212	52.9701536345	54.7194179256	60.3801759793	65.7165692364	65.7988841241	65.7988841241	65.7988841241	65.7988841241	65.7988841241	65.7988841241	65.7988841241
90	52.0712438972	51.5901028506	53.7766621282	58.8050761685	65.3346724145	65.89288956	66.0617193584	66.0617193584	66.0617193584	66.0617193584	66.0617193584	66.0617193584
95	51.4476669772	50.0513955618	52.5224770671	56.3166521531	64.347670766	65.3134510929	65.3134510929	65.3134510929	65.3134510929	65.3134510929	65.3134510929	65.3134510929
100	49.5809559508	49.4626189319	50.1880237493	54.9362086707	63.1391562605	64.1906813614	64.109408716	64.109408716	64.109408716	64.109408716	64.109408716	64.109408716
105	47.4897694069	46.7231289837	48.183786089	50.3897413287	59.695044516	61.6409090859	62.4933574662	62.4933574662	62.4933574662	62.4933574662	62.4933574662	62.4933574662
110	45.7465969981	45.4379639185	47.3582712904	48.750537528	57.8930516719	61.8605150465	61.8723095919	61.8723095919	61.8723095919	61.8723095919	61.8723095919	61.8723095919
115	46.3426051741	45.2222277686	46.3726008921	47.8587924111	56.3218641038	61.417788501	61.9118195686	61.9118195686	61.9118195686	61.9118195686	61.9118195686	61.9118195686
120	43.9830124075	43.8968307427	45.3688733263	46.8007206476	53.8105443892	58.7116180717	60.1509672049	60.1509672049	60.1509672049	60.1509672049	60.1509672049	60.1509672049
125	44.2304853385	44.2353932101	44.9784839594	46.8858457986	53.36427829	58.4301501769	59.6555811901	59.6555811901	59.6555811901	59.6555811901	59.6555811901	59.6555811901
130	42.2236411058	41.9211649411	43.0530867773	44.0337956418	51.2256734966	54.1073259866	56.8248189325	56.3459565169	56.3459565169	56.3459565169	56.3459565169	56.3459565169
135	41.8888331969	41.3211274663	42.9324053204	43.23263549	48.2077888669	52.6926107638	55.1408461513	56.4032272741	56.528473293	56.528473293	56.528473293	56.528473293
140	41.0332730926	40.7669173617	42.1840503386	42.7755234036	48.0879153517	49.7146379925	55.5470228367	56.2025784215	56.2025784215	56.2025784215	56.2025784215	56.2025784215
