xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	18.1427665179	18.1427665179	18.1427665179	18.1422708568	18.1429567755	18.1429567755	18.1429567755	18.1429567755	18.1429567755	18.1429567755	18.1429567755	18.1429567755
85	12.0345033058	12.0345033058	12.0345033058	12.0763318316	12.6480521157	12.6886141974	12.6886141974	12.6886141974	12.6886141974	12.6886141974	12.6886141974	12.6886141974
90	5.89170849154	5.89213401344	5.88709013979	6.20205725422	8.69767554075	8.69767554075	8.69767554075	8.69767554075	8.69767554075	8.69767554075	8.69767554075	8.69767554075
95	1.07830708827	0.971214133095	0.986158818363	1.99282066517	7.83888353391	7.9648103173	7.9648103173	7.9648103173	7.9648103173	7.9648103173	7.9648103173	7.9648103173
100	0.0612203251479	0.0612203251479	0.0612203251479	0.547304683908	7.29644590512	7.62616204714	7.62616204714	7.62616204714	7.62616204714	7.62616204714	7.62616204714	7.62616204714
105	0.0	0.0	0.0	0.0	6.12863014473	7.65171296193	7.65171296193	7.65171296193	7.65171296193	7.65171296193	7.65171296193	7.65171296193
110	0.0	0.0	0.0	0.0	5.30268357461	7.60940236119	7.52692564924	7.52692564924	7.52692564924	7.52692564924	7.52692564924	7.52692564924
115	0.0	0.0	0.0	0.0	2.98215719851	7.8453228177	7.80480119818	7.80480119818	7.80480119818	7.80480119818	7.80480119818	7.80480119818
120	0.0	0.0	0.0	0.0	1.62432296045	7.65267873917	7.69736872737	7.69736872737	7.69736872737	7.69736872737	7.69736872737	7.69736872737
125	0.0	0.0	0.0	0.0	0.0	4.88484204192	6.15215820852	6.15215820852	6.15215820852	6.15215820852	6.15215820852	6.15215820852
130	0.0	0.0	0.0	0.0	0.0	4.33044762351	5.68854153443	5.68854153443	5.68854153443	5.68854153443	5.68854153443	5.68854153443
135	0.0	0.0	0.0	0.0	0.0	2.55778095315	4.89172496305	4.89172496305	4.89172496305	4.89172496305	4.89172496305	4.89172496305
140	0.0	0.0	0.0	0.0	0.0096450617284	0.917959617493	3.1759539008	3.33319770181	3.33319770181	3.33319770181	3.33319770181	3.33319770181
