xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	92.8408673282	92.4675133984	92.2601984564	84.1675854465	75.1196172249	74.8840633051	74.8840633051	74.8840633051	74.8840633051	74.8840633051	74.8840633051	74.8840633051
85	89.8975311189	90.8328175504	88.4464617289	81.7612228036	73.7092438133	73.5782725581	73.5782725581	73.5782725581	73.5782725581	73.5782725581	73.5782725581	73.5782725581
90	89.4384675938	90.0091839412	87.1954823035	81.2118827464	71.6527677457	70.7925668133	70.589007814	70.589007814	70.589007814	70.589007814	70.589007814	70.589007814
95	85.8624591401	87.54714609	84.6158686214	80.8251053393	69.7566190806	68.5280785696	68.5280785696	68.5280785696	68.5280785696	68.5280785696	68.5280785696	68.5280785696
100	85.2243377981	85.2483632651	84.4735419545	79.8870599543	69.2692029858	67.7823260294	67.8906814351	67.8906814351	67.8906814351	67.8906814351	67.8906814351	67.8906814351
105	82.8969359331	83.8551532033	82.1357063404	80.8717920169	69.8133184731	67.1886319309	66.2691557537	66.2691557537	66.2691557537	66.2691557537	66.2691557537	66.2691557537
110	82.1032423208	82.284556314	80.3434300341	79.8935037274	69.528834879	64.5768861381	64.6675915057	64.6675915057	64.6675915057	64.6675915057	64.6675915057	64.6675915057
115	77.504205536	78.7327318142	77.2901055207	77.4159021407	68.4602437905	62.7683990412	62.3246799612	62.3246799612	62.3246799612	62.3246799612	62.3246799612	62.3246799612
120	78.0756714751	77.9251056389	76.5097087379	76.2584340566	69.1067178316	64.1217661933	62.5753744408	62.5753744408	62.5753744408	62.5753744408	62.5753744408	62.5753744408
125	76.3317567245	76.1072094023	75.6390043476	75.3047468808	68.5897435897	63.2208090274	61.9011188677	61.9011188677	61.9011188677	61.9011188677	61.9011188677	61.9011188677
130	75.3351690516	75.4119080937	74.3845252052	74.5997384206	68.1914557676	65.4576622908	62.870817718	63.308800289	63.308800289	63.308800289	63.308800289	63.308800289
135	73.3636955107	73.6504079153	72.2255938963	73.0922477263	69.388816645	64.8374512354	62.4441843326	61.2953570035	61.1653010795	61.1653010795	61.1653010795	61.1653010795
140	71.6916288345	71.7439293598	70.4684317719	71.4182282794	67.1635434412	65.5954149862	60.499490316	59.8666326877	59.8666326877	59.8666326877	59.8666326877	59.8666326877
