xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
85	100.0	100.0	100.0	99.9682479202	99.5194851929	99.4877331132	99.4877331132	99.4877331132	99.4877331132	99.4877331132	99.4877331132	99.4877331132
90	100.0	100.0	100.0	99.762300927	97.94786467	97.94786467	97.94786467	97.94786467	97.94786467	97.94786467	97.94786467	97.94786467
95	99.6933891714	99.5605833957	99.5587052862	98.7516585375	94.6747443017	94.5849928012	94.5849928012	94.5849928012	94.5849928012	94.5849928012	94.5849928012	94.5849928012
100	98.2895308427	97.4330175178	97.4028326149	96.9560417685	92.1129362334	91.8720683847	91.8720683847	91.8720683847	91.8720683847	91.8720683847	91.8720683847	91.8720683847
105	94.5981286192	93.4882693713	93.4390024294	93.7381081816	89.2070821097	88.1698891511	88.1698891511	88.1698891511	88.1698891511	88.1698891511	88.1698891511	88.1698891511
110	91.3937047911	90.5458185637	90.534884866	90.7664790535	87.0963513934	85.5612169668	85.6169208841	85.6169208841	85.6169208841	85.6169208841	85.6169208841	85.6169208841
115	86.4248640633	85.617612978	85.6979528776	85.9083323031	85.2357989123	82.134048588	82.1587125416	82.1587125416	82.1587125416	82.1587125416	82.1587125416	82.1587125416
120	83.0350697786	82.1930787625	82.2968522056	82.848675402	83.5131363752	79.5274881872	79.4974874372	79.4974874372	79.4974874372	79.4974874372	79.4974874372	79.4974874372
125	78.9521279602	78.3162832759	78.3360651105	78.6840728116	82.439774764	78.185915493	77.441713038	77.441713038	77.441713038	77.441713038	77.441713038	77.441713038
130	76.2522886891	75.4611537726	75.4710021176	75.8817661287	80.2028934128	76.4510508548	75.6635722647	75.6635722647	75.6635722647	75.6635722647	75.6635722647	75.6635722647
135	73.8096504054	73.0154721395	73.0579039719	73.4009464058	78.6553975162	75.5539348936	74.1776315789	74.1776315789	74.1776315789	74.1776315789	74.1776315789	74.1776315789
140	72.0211122554	70.9983519596	70.961263662	71.3290674769	76.6250144775	74.8271305597	73.2865644077	73.2296288697	73.2296288697	73.2296288697	73.2296288697	73.2296288697
