xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	95.6948640483	95.4716981132	95.166163142	89.6525679758	84.3537414966	84.2025699169	84.2025699169	84.2025699169	84.2025699169	84.2025699169	84.2025699169	84.2025699169
85	93.8078291815	94.5195729537	92.9537366548	87.962962963	83.2501781896	83.1789023521	83.1789023521	83.1789023521	83.1789023521	83.1789023521	83.1789023521	83.1789023521
90	93.4604904632	93.8692098093	92.0927062031	87.7384196185	82.2085889571	81.7314246762	81.5950920245	81.5950920245	81.5950920245	81.5950920245	81.5950920245	81.5950920245
95	91.3915857605	92.427184466	90.6088082902	87.6295336788	81.1528497409	80.4277381724	80.4277381724	80.4277381724	80.4277381724	80.4277381724	80.4277381724	80.4277381724
100	90.7079646018	90.8343868521	90.391908976	86.7256637168	80.3797468354	79.5569620253	79.6202531646	79.6202531646	79.6202531646	79.6202531646	79.6202531646	79.6202531646
105	89.5402298851	90.1724137931	89.0929965557	87.7082136703	81.1494252874	79.7701149425	79.1379310345	79.1379310345	79.1379310345	79.1379310345	79.1379310345	79.1379310345
110	88.8767123288	89.0410958904	88.0	87.13033954	81.095890411	78.4539473684	78.5087719298	78.5087719298	78.5087719298	78.5087719298	78.5087719298	78.5087719298
115	85.5119825708	86.3834422658	85.2941176471	84.9673202614	79.8365122616	76.4032697548	76.0762942779	76.0762942779	76.0762942779	76.0762942779	76.0762942779	76.0762942779
120	86.331300813	86.1788617886	85.3224987303	84.6700507614	80.7516505841	77.8455284553	76.9308943089	76.9308943089	76.9308943089	76.9308943089	76.9308943089	76.9308943089
125	85.0753768844	84.7738693467	84.6733668342	83.9115133233	80.3822937626	77.2750125691	76.5208647562	76.5208647562	76.5208647562	76.5208647562	76.5208647562	76.5208647562
130	84.0716305372	83.9302544769	83.4745762712	83.1841733396	80.0753650495	78.6151672162	77.0028275212	77.2384542884	77.2384542884	77.2384542884	77.2384542884	77.2384542884
135	82.1119708694	82.5591985428	82.1152973218	82.2756119674	81.0430839002	78.4126984127	76.8602540835	76.0889292196	75.998185118	75.998185118	75.998185118	75.998185118
140	81.4948221522	81.5931593159	81.0895992796	81.309255079	79.3679458239	78.7320143885	75.5285650022	75.0337381916	75.0337381916	75.0337381916	75.0337381916	75.0337381916
