xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
85	100.0	100.0	100.0	99.9774520857	99.6617812852	99.6392333709	99.6392333709	99.6392333709	99.6392333709	99.6392333709	99.6392333709	99.6392333709
90	100.0	100.0	100.0	99.8328108673	98.5579937304	98.5579937304	98.5579937304	98.5579937304	98.5579937304	98.5579937304	98.5579937304	98.5579937304
95	98.4070091597	98.9649681529	98.9249452518	99.0271987294	96.3058589871	96.2462760675	96.2462760675	96.2462760675	96.2462760675	96.2462760675	96.2462760675	96.2462760675
100	92.5797770088	93.4397845325	93.6730769231	95.4484347993	94.5478978691	94.3943175274	94.3943175274	94.3943175274	94.3943175274	94.3943175274	94.3943175274	94.3943175274
105	83.6498462651	84.3608750678	84.8309528114	86.0578661844	92.5945945946	91.9279279279	91.9279279279	91.9279279279	91.9279279279	91.9279279279	91.9279279279	91.9279279279
110	77.9504189944	78.641285365	78.9731051345	79.1063012742	91.2907702984	90.319222762	90.3539208883	90.3539208883	90.3539208883	90.3539208883	90.3539208883	90.3539208883
115	71.6158636513	71.3653499426	72.0629198755	72.2713864307	90.0633219679	88.2572681501	88.2735098262	88.2735098262	88.2735098262	88.2735098262	88.2735098262	88.2735098262
120	67.7725881785	67.2463768116	68.1049750443	68.6201899855	88.2343550447	86.4964086193	86.4804469274	86.4804469274	86.4804469274	86.4804469274	86.4804469274	86.4804469274
125	64.0274873021	63.6390797729	64.9044205496	64.8975930632	82.8022632519	85.9656906241	85.5093893243	85.5093893243	85.5093893243	85.5093893243	85.5093893243	85.5093893243
130	62.635889799	61.8558236521	63.2871817776	62.9932985853	79.8696489409	84.4372326302	83.9675516224	83.9675516224	83.9675516224	83.9675516224	83.9675516224	83.9675516224
135	59.645138396	58.9328792394	59.9262097346	59.9971619129	74.031665253	84.2519685039	83.4692156311	83.4692156311	83.4692156311	83.4692156311	83.4692156311	83.4692156311
140	58.5295332507	57.5874414762	58.9288172931	58.8049015558	70.8327598073	83.0013642565	82.8949161783	82.7816373791	82.7816373791	82.7816373791	82.7816373791	82.7816373791
